State,City,County,Year,SO,NO,CO,O3,Latitude,Longitude
Pennsylvania,Bristol,Bucks,2000,4.011430875,15.6269266806,0.375904166667,0.0281875972222,40.115859,-74.853608
Pennsylvania,Johnstown,Cambria,2000,4.1405399061,13.1246836901,0.398027403756,0.0251448309859,40.412707,-78.854245
Pennsylvania,Scranton,Lackawanna,2000,1.90526814563,13.1561153932,0.421650257282,0.0244893883495,41.401881,-75.637626
Pennsylvania,Lancaster,Lancaster,2000,2.78407536181,11.1468770201,0.238458894472,0.0268634371859,40.076553,-76.31068
Pennsylvania,New Castle,Lawrence,2000,6.88235703382,17.0065017681,0.538405521739,0.0215666714976,40.964516,-80.300736
Pennsylvania,Norristown,Montgomery,2000,2.04204648131,15.6318679953,0.154462009346,0.0290215514019,40.149154,-75.356627
Pennsylvania,Freemansburg,Northampton,2000,4.95066213876,13.8263747177,0.344986425837,0.027101708134,40.626488,-75.345735
Pennsylvania,Philadelphia,Philadelphia,2000,5.0417117913,25.6554667391,0.563853617391,0.0156489449275,40.001811,-75.11787
Pennsylvania,Charleroi,Washington,2000,6.72636014486,12.5807481822,0.105779331776,0.0253920420561,40.135834,-79.932907
Pennsylvania,Greensburg,Westmoreland,2000,9.92842401402,16.182696472,0.204747102804,0.0263080233645,40.347017,-79.500729
Pennsylvania,York,York,2000,5.23082164953,15.6405933879,0.27815632243,0.0272707616822,40.001615,-76.689918
Texas,Dallas,Dallas,2000,0.941366311404,18.4560142105,0.389873412281,0.0244312587719,32.781179,-96.790329
Texas,El Paso,El Paso,2000,1.10930808126,14.867238447,0.500830419865,0.028473027088,31.763608,-106.484592
Texas,Houston,Harris,2000,6.03061234337,16.8507684066,0.377795674699,0.0195576084337,29.813142,-95.309789
Virginia,McLean,Fairfax,2000,9.81179463516,17.1999408403,0.669063933837,0.0226322637051,38.935202,-77.18672
Virginia,Alexandria,Alexandria City,2000,5.16230549765,21.398355615,0.503913267606,0.022731741784,38.82045,-77.050552
Arizona,Scottsdale,Maricopa,2001,2.19486060391,27.081756016,0.814949904085,0.0185890834813,33.420061,-111.792658
Arizona,Tucson,Pima,2001,0.79420397076,15.5742432982,0.365653216374,0.0266868918129,32.169577,-110.875093
California,Oakland,Alameda,2001,1.63095247619,23.377886,0.682918571429,0.00944519047619,37.786027,-122.223779
California,Pittsburg,Contra Costa,2001,1.76712007395,13.2983161812,0.459777267821,0.022936904064,38.00307,-121.917219
California,Calexico,Imperial,2001,0.580165053872,14.4486222458,0.924563090909,0.0285024747475,32.946832,-115.518355
California,Bakersfield,Kern,2001,1.77787286076,28.2440308734,0.779962291139,0.0187637088608,35.483501,-119.007662
California,Hawthorne,Los Angeles,2001,2.52171275792,33.8422017754,0.990441361749,0.020409410929,33.786594,-118.298662
California,Costa Mesa,Orange,2001,1.41222101462,16.267528924,0.596992304094,0.0288974298246,33.640302,-117.769442
California,Rubidoux,Riverside,2001,0.855565598901,24.2155762912,0.775771543956,0.0246056126374,33.9958669,-117.4262714
California,Arden-Arcade,Sacramento,2001,1.95014055738,14.5040057943,0.517127672131,0.0251936900149,38.600807,-121.377037
California,Victorville,San Bernardino,2001,1.56387085269,21.6064970368,0.442225892351,0.0313618385269,34.491985,-114.754916
California,San Diego,San Diego,2001,3.33079926979,19.2681610137,0.878076233627,0.0264962463343,32.709355,-117.232764
California,San Francisco,San Francisco,2001,2.13920576584,19.1085205234,0.714327016529,0.0184048705234,37.784827,-122.727802
California,Vandenberg Air Force Base,Santa Barbara,2001,0.348321351429,5.27241322071,0.273939392143,0.0315383007143,34.75821,-120.516395
California,Davenport,Santa Cruz,2001,1.04126858726,4.56386568421,0.301684537396,0.0247314819945,37.097536,-122.24338
California,Vallejo,Solano,2001,0.929033648045,12.8935998966,0.531376874302,0.0210615586592,38.158221,-122.280383
California,Not in a city,Ventura,2001,3.91336079573,12.0686397683,0.231050698171,0.0238900304878,34.330829,-119.358352
Colorado,Welby,Adams,2001,2.45829390625,25.7729412344,0.630149959375,0.016417528125,39.872535,-105.034487
District Of Columbia,Washington,District of Columbia,2001,6.58303092816,24.4872881322,1.0774125977,0.0209437327586,38.911936,-77.016719
Florida,Winter Park,Orange,2001,1.15013221937,12.3500174815,0.640443404558,0.0241851481481,28.602327,-81.35874
Illinois,Calumet City (PU RR name Calumet Park (sta.)),Cook,2001,3.8971134507,24.976654115,0.659397103286,0.0203318380282,41.811929,-87.68732
Illinois,East Saint Louis,Saint Clair,2001,7.35576895265,19.2037696045,0.515002866295,0.0215055905292,38.612317,-90.115857
Indiana,Indianapolis (Remainder),Marion,2001,3.33296943503,14.9315413446,0.38070819209,0.0321451186441,39.762392,-86.143736
Kansas,Not in a city,Linn,2001,0.464821089595,3.66472181792,0.129675609827,0.0331253988439,38.089756,-95.007693
Kansas,Not in a city,Sumner,2001,0.0811363636364,5.57570374545,0.172070672727,0.0226973454545,37.248959,-97.690887
Kansas,Kansas City,Wyandotte,2001,1.6479667924,18.4279109181,0.57190894152,0.0236572836257,39.145049,-94.688896
Kentucky,Ashland,Boyd,2001,4.89583140891,14.2042573806,0.104989676113,0.029594534413,38.43296,-82.693914
Kentucky,Not in a city,Daviess,2001,3.74487892241,8.67717767241,0.0130100689655,0.0335890258621,37.751818,-87.257303
Kentucky,Lexington-Fayette (corporate name for Lexington),Fayette,2001,4.02538004292,12.9187491502,0.0476331587983,0.0327171072961,38.016674,-84.486043
Kentucky,Henderson,Henderson,2001,4.90586581301,14.938467561,0.135196487805,0.0275481707317,37.807173,-87.599052
Kentucky,Louisville,Jefferson,2001,3.92752119895,12.2761190995,0.402181502618,0.0267577486911,38.188962,-85.676819
Kentucky,Paducah,McCracken,2001,2.10120606557,10.3122604754,0.0320355163934,0.0326998278689,37.031586,-88.713292
Louisiana,Baton Rouge,East Baton Rouge,2001,3.69652528412,17.3992366518,0.829409551532,0.0229724373259,30.44924,-91.185607
Massachusetts,Boston,Suffolk,2001,5.90961173359,24.0740390386,0.300981305019,0.0191565328185,42.370567,-71.026964
Michigan,Detroit,Wayne,2001,5.42700673288,22.7406958082,0.396242410959,0.0280816849315,42.239933,-83.150823
Missouri,Breckenridge Hills,Saint Louis,2001,3.3326417,15.6193344136,0.488033886364,0.0295890727273,38.714496,-90.367338
Missouri,St. Louis,St. Louis City,2001,5.29828850228,18.8278932694,0.507743511416,0.029476890411,38.627003,-90.199402
Nevada,Boulder City,Clark,2001,0.283006813187,5.90595928571,0.0703296263736,0.0307302087912,36.020563,-114.82952
New Jersey,Camden,Camden,2001,6.35276414783,21.3416397014,0.60145055942,0.0247584550725,39.950912,-75.118869
New Jersey,Newark,Essex,2001,4.0123604087,28.3678110435,0.674657008696,0.0152912521739,40.736101,-74.22509
New York,New York,Bronx,2001,11.2136458333,31.2460086354,0.6893725625,0.0157208368056,40.819329,-73.920355
New York,New York,Queens,2001,6.99808742828,26.9386072768,0.576606262626,0.0193450242424,40.75,-73.866667
New York,Holtsville,Suffolk,2001,6.0372392819,16.9068534421,0.211036774481,0.0277572344214,40.922326,-72.637078
North Carolina,Winston-Salem,Forsyth,2001,2.98001643846,12.1965866154,0.480700607692,0.0351770461538,36.101817,-80.28762
